fetched_at,match_id,kickoff_utc,home_team,away_team,bookmaker_count,implied_p_home,implied_p_draw,implied_p_away,best_odds_home,best_odds_draw,best_odds_away
2026-06-20 11:42:57.373890 UTC,4f0c518545b0096c68326daf25bffc1e,2026-06-20 17:00:00.000000 UTC,Netherlands,Sweden,40,0.5479,0.2451,0.207,1.7,3.8,4.5
2026-06-20 11:42:57.373890 UTC,f1ab0f69832972a329243522ceaa7804,2026-06-20 20:00:00.000000 UTC,Germany,Ivory Coast,41,0.641,0.2051,0.1538,1.44,4.5,6
2026-06-20 11:42:57.373890 UTC,681895f294b670b4c7b14495dfb583bc,2026-06-21 00:00:00.000000 UTC,Ecuador,Curaçao,41,0.8483,0.1046,0.0471,1.11,9,20
2026-06-20 11:42:57.373890 UTC,dfc5202cf1b8ae002cf952cd04f235b9,2026-06-21 04:00:00.000000 UTC,Tunisia,Japan,41,0.142,0.2428,0.6152,6.5,3.8,1.5
2026-06-20 11:42:57.373890 UTC,73529a242e319a86bf3d00ddb4accc37,2026-06-21 16:00:00.000000 UTC,Spain,Saudi Arabia,41,0.8625,0.0931,0.0444,1.08,10,21
2026-06-20 11:42:57.373890 UTC,5f92f257386ec5bf7c6e2498a21f3a61,2026-06-21 19:00:00.000000 UTC,Belgium,Iran,41,0.6677,0.2077,0.1246,1.4,4.5,7.5
2026-06-20 11:42:57.373890 UTC,852a3abe6d46820720febc0fedebff9a,2026-06-21 22:00:00.000000 UTC,Uruguay,Cape Verde,41,0.6675,0.2225,0.1099,1.4,4.2,8.5
2026-06-20 11:42:57.373890 UTC,c1ec9a65f4b4cf74477b368a7d6282de,2026-06-22 01:00:00.000000 UTC,New Zealand,Egypt,41,0.1701,0.2339,0.596,5.5,4,1.57
2026-06-20 11:42:57.373890 UTC,be6c63f416c67bca1300a98f5b89c3af,2026-06-22 17:00:00.000000 UTC,Argentina,Austria,41,0.6033,0.2429,0.1538,1.53,3.8,6
2026-06-20 11:42:57.373890 UTC,7ad7a0ce2ef2618bb59b066da5642f70,2026-06-22 21:00:00.000000 UTC,France,Iraq,40,0.8774,0.0861,0.0364,1.08,11,26
2026-06-20 11:42:57.373890 UTC,3f48473742ca0fd2a85930554720c75e,2026-06-23 00:00:00.000000 UTC,Norway,Senegal,40,0.4208,0.2805,0.2986,2.2,3.3,3.1
2026-06-20 11:42:57.373890 UTC,fd8533b650e655030f6a7946f8795db2,2026-06-23 03:00:00.000000 UTC,Jordan,Algeria,40,0.1582,0.2373,0.6045,6,4,1.57
2026-06-20 11:42:57.373890 UTC,8ba93d190f1f934e33862a97a6353a6e,2026-06-23 17:00:00.000000 UTC,Portugal,Uzbekistan,40,0.8018,0.1352,0.0631,1.18,7,15
2026-06-20 11:42:57.373890 UTC,2f49dd8deae3079dc4eb2d634d18a99c,2026-06-23 20:00:00.000000 UTC,England,Ghana,40,0.79,0.1434,0.0666,1.18,6.5,14
2026-06-20 11:42:57.373890 UTC,c1bc8c26480cd42b89a0de5329581314,2026-06-23 23:00:00.000000 UTC,Panama,Croatia,40,0.142,0.2428,0.6152,6.5,3.8,1.5
2026-06-20 11:42:57.373890 UTC,68bfc965eb267508e04d8e8d75c1a0ae,2026-06-24 02:00:00.000000 UTC,Colombia,DR Congo,38,0.6292,0.236,0.1348,1.5,4,7
2026-06-20 11:42:57.373890 UTC,512ac18beb5aa936a59f7ea3e497ada2,2026-06-24 19:00:00.000000 UTC,Bosnia & Herzegovina,Qatar,41,0.6551,0.2038,0.1411,1.4,4.5,6.5
2026-06-20 11:42:57.373890 UTC,c9ef5822ee64fd5275f7c73251bb56c7,2026-06-24 19:00:00.000000 UTC,Switzerland,Canada,40,0.3795,0.3206,0.2999,2.45,2.9,3.1
2026-06-20 11:42:57.373890 UTC,885ba95805db310a7bcc3fb1a7a6dd28,2026-06-24 22:00:00.000000 UTC,Scotland,Brazil,39,0.1229,0.1843,0.6928,7.5,5,1.33
2026-06-20 11:42:57.373890 UTC,d1279ce7f33136a33e99ad442fc855e8,2026-06-24 22:00:00.000000 UTC,Morocco,Haiti,39,0.8031,0.1342,0.0626,1.17,7,15
2026-06-20 11:42:57.373890 UTC,5993bd5196ca09f83990f0c3261e442e,2026-06-25 01:00:00.000000 UTC,Czech Republic,Mexico,41,0.2808,0.2439,0.4753,3.3,3.8,1.95
2026-06-20 11:42:57.373890 UTC,c0355dfc6e26ec327e379b6ef5824a5f,2026-06-25 01:00:00.000000 UTC,South Africa,South Korea,37,0.1681,0.2432,0.5887,5.5,3.8,1.57
2026-06-20 11:42:57.373890 UTC,a5a0b544a984ab16e564264f3e859b43,2026-06-25 20:00:00.000000 UTC,Curaçao,Ivory Coast,36,0.0525,0.1112,0.8363,18,8.5,1.13
2026-06-20 11:42:57.373890 UTC,0ec28b84ec399bd4dffbe8d1bc72b3c4,2026-06-25 20:00:00.000000 UTC,Ecuador,Germany,36,0.1976,0.2503,0.5521,4.75,3.75,1.7
2026-06-20 11:42:57.373890 UTC,0ed0233bddc4eafc8507f86a9c17b998,2026-06-25 23:00:00.000000 UTC,Japan,Sweden,36,0.4267,0.2845,0.2888,2.2,3.3,3.25
2026-06-20 11:42:57.373890 UTC,f3c4657daa143a0c5bd62cb370d01ce4,2026-06-25 23:00:00.000000 UTC,Tunisia,Netherlands,36,0.0968,0.1673,0.7359,9.5,5.5,1.25
